"PATH";"/System/Characts/Ings";;;;;;
"TYPE";"bcpg:ing";;;;;;
"COLUMNS";"cm:name";"cm:description";"bcpg:ingType";"bcpg:ingCEECode";"bcpg:legalName";"bcpg:legalName_fr";"bcpg:legalName_en"
"VALUES";"cetearyl stearate";"conditionneur";"Ingrédient";;"cetearyl stearate";"cetearyl stearate";"cetearyl stearate"
"VALUES";"ceteth-10 phosphate";"émulsionnant";"Ingrédient";;"ceteth-10 phosphate";"ceteth-10 phosphate";"ceteth-10 phosphate"
"VALUES";"ceteth-20";"émulsionnant";"Ingrédient";;"ceteth-20";"ceteth-20";"ceteth-20"
"VALUES";"cetrimonium bromide";"empécher la prolifération de bactéries et de levures";"Ingrédient";;"cetrimonium bromide";"cetrimonium bromide";"cetrimonium bromide"
"VALUES";"cetyl alcohol";"stabilisant, co-émulsionnant, épaississant";"Ingrédient";;"cetyl alcohol";"cetyl alcohol";"cetyl alcohol"
"VALUES";"cetyl dimethicone";"anti-moussant, occlusif, protecteur";"Ingrédient";;"cetyl dimethicone";"cetyl dimethicone";"cetyl dimethicone"
"VALUES";"cetyl hydroxyethylcellulose";"épaississant, viscosant";"Ingrédient";;"cetyl hydroxyethylcellulose";"cetyl hydroxyethylcellulose";"cetyl hydroxyethylcellulose"
"VALUES";"cetyl palmitate";"conditionneur, occlusif";"Ingrédient";;"cetyl palmitate";"cetyl palmitate";"cetyl palmitate"
"VALUES";"cetyl ricinoleate";"occlusif";"Ingrédient";;"cetyl ricinoleate";"cetyl ricinoleate";"cetyl ricinoleate"
"VALUES";"chlorhexidine";"empécher la prolifération de bactéries et de levures";"Ingrédient";;"chlorhexidine";"chlorhexidine";"chlorhexidine"
"VALUES";"chlorhexidine digluconate";"biocide";"Ingrédient";;"chlorhexidine digluconate";"chlorhexidine digluconate";"chlorhexidine digluconate"
"VALUES";"chlorphenesin";"empécher la prolifération de bactéries et de levures";"Ingrédient";;"chlorphenesin";"chlorphenesin";"chlorphenesin"
"VALUES";"cholesterol";"stabilisateur, conditionneur";"Ingrédient";;"cholesterol";"cholesterol";"cholesterol"
"VALUES";"chondrus crispus (carrageenan)";"gélifier les phases aqueuses, épaissir, augmenter la viscosité";"Ingrédient";;"chondrus crispus (carrageenan)";"chondrus crispus (carrageenan)";"chondrus crispus (carrageenan)"
"VALUES";"CI 14700";"rouge";"Ingrédient";;"CI 14700";"CI 14700";"CI 14700"
"VALUES";"CI 15985";"coloration jaune orangé";"Ingrédient";;"CI 15985";"CI 15985";"CI 15985"
"VALUES";"CI 42090";"colorant bleu turquoise";"Ingrédient";;"CI 42090";"CI 42090";"CI 42090"
"VALUES";"CI 77266";"couleur noire";"Ingrédient";;"CI 77266";"CI 77266";"CI 77266"
"VALUES";"CI 77491 (iron oxide)";"teinte brune";"Ingrédient";;"CI 77491 (iron oxide)";"CI 77491 (iron oxide)";"CI 77491 (iron oxide)"
"VALUES";"CI 77492";"couleur jaune brun";"Ingrédient";;"CI 77492";"CI 77492";"CI 77492"
"VALUES";"CI 77891";"poudre blanchissante, écran solaire minéral";"Ingrédient";;"CI 77891";"CI 77891";"CI 77891"
"VALUES";"cinnamal";"note cannelle";"Ingrédient";;"cinnamal";"cinnamal";"cinnamal"
