STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/CIQUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISABLED_POLICIES;rep:reportEntityAspect;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;NutDatabaseFrench;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;bcpg:code;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer total;Cuivre;Zinc;Sélénium;Iode;Protéines;Protéines brutes (N x 6.25);Glucides;Sucres;Energie kJ, étiquetage;Energie kcal, étiquetage;Amidon;Energie kJ;Energie kcal;Polyols totaux;Fibres alimentaires;Eau;Lipides;AG saturés;AG monoinsaturés;AG polyinsaturés;Rétinol;Bêta-carotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B12 ou Cobalamines;Vitamine B9 ou Folates totaux;Alcool (éthanol);Acides organiques;Cholestérol
VALUES;CIQUAL16713;228;2,3;15;48,1;22,7;1;1;1;1;5,8;10;0,36;0,36;4,2;0;858;208;4,2;858;208;0;0;72,1;21,1;10,5;4,62;0,705;448;732;0,7;0;1;0,05;0,05;0,05;0,08;0,05;0,2;5;0;0;59
VALUES;CIQUAL16712;286;2,5;14;51,2;18;1;1;1;1;8,1;10;0,9;0,9;6,9;0;1080;262;2,9;1080;262;0;0;68,8;25,6;16,3;5,85;0,866;342;491;0,2;1,15;1;0,05;0,05;0,05;0,06;0,05;0,2;5;0;0;70
VALUES;CIQUAL5001;4,44;7,37;13,5;36,5;9;0,0071;0,02;0,14;0,03;0,005;1,2;0,367;0,367;1,64;1,64;135;32,3;0;135;32,3;0;0;94,3;0;0;0;0;0;0;0;0;;;0,02;0,545;0,369;0,03;0,115;4,82;3,47;0;0
VALUES;CIQUAL5011;3,7;7,9;21,5;41,6;4,9;0,008;0,012;0,006;0,018;0,11;1,5;0,4;0,4;3,5;0;200;47,8;0;200;47,8;0;0;91,3;0;0;0;0;0;0;0;0;0;0,006;0,019;0,649;0,139;0,045;0,02;2,6;4,6;0;0
VALUES;CIQUAL5010;1,92;9,84;25;48,8;5,89;0,005;0,006;0,004;0;0,9;1,9;0,5;0,5;3,24;3,24;214;51,3;0;214;51,3;0;0;90,8;0,1;0;0;0;0;0;0;0;0;0,04;0,3;0,8;1;0,05;0,2;7,98;5,13;0;0
VALUES;CIQUAL5000;15,9;6;10,9;32,7;6,94;;0,02;0,07;0,03;;4,1;0,3;0,3;4,71;4,1;148;35,3;0;148;35,3;0;0;92,7;;;;;0;0;0;0;;;0,02;0,26;0,1;0,01;0,1;4;2,18;0;0
VALUES;CIQUAL5002;6,8;9;18,4;64,2;4,3;0,018;0,02;0,009;0,013;0,11;1,75;0,4;0,4;4,6;0;259;62;0;259;62;0;0;88,8;0;0;0;0;0;0;0;0;;0,007;0,03;0,47;0,085;0,045;0,02;2,6;6;0;0
VALUES;CIQUAL5030;2,51;5,53;9,85;29,3;5,73;0,0075;0,011;0,0043;0,0133;2,2;1;0,25;0,25;4,67;2,72;110;26;0;110;26;0;0;94;0,1;0;0;0;0;0;0;0;0,1;1,33;0,0123;0,65;0,047;0,04;0,08;5;0,836;0;0
VALUES;CIQUAL7300;484;43,2;122;250;23,4;0,673;1,37;0,135;0,793;10;8,43;10,8;11,9;71,7;7,17;1700;404;64,1;1690;399;0;3,89;4,87;6,82;3,12;2,04;1,18;53;0;0,345;1,04;0;0,392;0,142;2,4;0;0,279;0;95,3;0;0;0
VALUES;CIQUAL7340;487;77,8;260;350;40,6;2;3,1;1;1,9;5;10;12,2;13,4;65,6;7;1680;400;56,1;1660;395;0;9,2;3,7;7,24;2,41;2,09;1,97;0;50;0;2,5;0;0,39;0,13;1,9;0,74;0,47;0;58;0;0;0
